Date,Close
20010512,583.35
20010514,582.52
20010515,580.0
20010516,585.75
20010517,590.5
20010518,587.58
20010519,584.89
20010521,584.43
20010522,583.93
20010523,572.82
20010524,562.77
20010525,561.71
20010526,566.73
20010528,566.27
20010529,569.79
20010530,565.42
20010531,565.6
20010601,556.23
20010602,556.03
20010604,555.31
20010605,555.44
20010607,556.45
20010608,559.91
20010609,559.1
20010611,558.81
20010612,556.11
20010613,562.57
20010614,564.81
20010615,569.89
20010616,569.06
20010618,569.86
20010619,571.44
20010620,569.14
20010621,567.16
20010622,568.46
20010623,571.84
20010625,571.24
20010626,572.34
20010627,573.23
20010628,571.3
20010629,562.31
20010630,564.88
20010702,565.51
20010703,562.95
20010704,561.44
20010705,560.64
20010706,554.03
20010707,561.46
20010709,561.3
20010710,564.39
20010711,567.4
20010712,572.5
20010713,569.78
20010714,569.81
20010716,569.95
20010718,576.35
20010719,584.47
20010720,581.93
20010721,581.19
20010723,580.35
20010724,581.66
20010725,586.03
20010726,589.13
20010727,584.41
20010728,583.58
20010730,583.05
20010731,581.46
20010801,583.81
20010802,584.58
20010803,583.02
20010804,580.42
20010806,579.56
20010807,579.95
20010808,577.38
20010809,579.18
20010810,588.05
20010811,585.27
20010813,585.4
20010814,589.48
20010816,601.74
20010817,595.8
20010818,602.29
20010820,601.17
20010821,600.71
20010822,603.29
20010823,598.8
20010824,600.34
20010825,598.68
20010827,597.83
20010828,596.7
20010829,596.55
20010830,594.79
20010831,601.36
20010901,598.17
20010903,595.71
20010904,593.14
20010905,581.11
20010906,581.77
20010907,589.08
20010908,597.15
20010910,596.75
20010911,591.92
20010912,601.63
20010913,595.84
20010914,601.21
20010915,610.95
20010917,612.51
20010918,612.75
20010919,615.22
20010920,614.36
20010921,615.24
20010922,606.51
20010924,606.15
20010925,612.12
20010926,616.87
20010927,616.3
20010928,612.45
20010929,609.06
20011004,611.74
20011005,616.8
20011006,616.53
20011008,616.8
20011009,617.15
20011010,610.91
20011011,609.0
20011012,601.0
20011013,605.48
20011015,606.44
20011016,601.76
20011017,601.88
20011018,600.51
20011019,599.61
20011020,598.0
20011022,597.6
20011023,594.06
20011024,594.09
20011025,593.97
20011026,591.32
20011027,591.27
20011029,591.63
20011030,598.79
20011031,600.0
20011101,596.73
20011102,598.17
20011103,598.3
20011105,597.64
20011106,594.61
20011107,592.52
20011108,593.54
20011109,588.48
20011110,586.39
20011112,586.52
20011113,586.95
20011114,579.22
20011115,579.89
20011116,578.4
20011117,580.4
20011119,580.24
20011120,576.72
20011121,579.57
20011122,574.99
20011123,574.22
20011124,572.31
20011126,572.67
20011127,570.08
20011128,571.52
20011129,576.12
20011130,577.62
20011201,581.7
20011203,581.25
20011204,579.33
20011205,578.81
20011206,577.03
20011207,579.78
20011208,578.99
20011210,579.32
20011211,583.2
20011212,584.12
20011213,584.84
20011214,581.52
20011215,592.1
20011217,591.97
20011218,595.72
20011219,596.34
20011220,594.35
20011221,598.27
20011222,595.33
20011224,595.67
20011226,587.48
20011227,592.84
20011228,598.65
20011229,599.47
20011231,599.54
